bv,mag,spec,o,b,a,f,g,k,m
0.656,4.85,G,0,0,0,0,1,0,0
0.482,2.39,F,0,0,0,1,0,0,0
0.999,5.866,K,0,0,0,0,0,1,0
-0.019,-1.619,B,0,1,0,0,0,0,0
0.37,2.421,F,0,0,0,1,0,0,0
0.902,1.494,G,0,0,0,0,1,0,0
1.336,8.607,M,0,0,0,0,0,0,1
0.74,5.828,G,0,0,0,0,1,0,0
1.102,2.536,M,0,0,0,0,0,0,1
1.067,0.473,G,0,0,0,0,1,0,0
0.489,3.763,F,0,0,0,1,0,0,0
0.081,0.446,A,0,0,1,0,0,0,0
1.484,0.989,K,0,0,0,0,0,1,0
1.128,-11.2,K,0,0,0,0,0,1,0
1.2,0.683,K,0,0,0,0,0,1,0
1.166,0.005,K,0,0,0,0,0,1,0
0.425,2.476,F,0,0,0,1,0,0,0
1.567,7.773,K,0,0,0,0,0,1,0
0.955,-0.454,G,0,0,0,0,1,0,0
0.516,3.585,G,0,0,0,0,1,0,0
1.438,1.163,K,0,0,0,0,0,1,0
0.962,1.175,G,0,0,0,0,1,0,0
0.456,2.89,F,0,0,0,1,0,0,0
0.528,3.934,G,0,0,0,0,1,0,0
0.763,1.728,G,0,0,0,0,1,0,0
0.535,4.113,F,0,0,0,1,0,0,0
0.671,4.16,G,0,0,0,0,1,0,0
0.468,2.346,F,0,0,0,1,0,0,0
1.041,1.068,G,0,0,0,0,1,0,0
0.142,1.319,A,0,0,1,0,0,0,0
1.453,0.196,K,0,0,0,0,0,1,0
0.04,1.497,B,0,1,0,0,0,0,0
0.466,2.82,F,0,0,0,1,0,0,0
0.514,2.066,F,0,0,0,1,0,0,0
0.916,3.258,G,0,0,0,0,1,0,0
1.15,1.35,K,0,0,0,0,0,1,0
0.391,2.532,F,0,0,0,1,0,0,0
0.778,5.518,G,0,0,0,0,1,0,0
0.475,2.629,F,0,0,0,1,0,0,0
0.026,0.889,A,0,0,1,0,0,0,0
0.57,-9.39,B,0,1,0,0,0,0,0
0.387,2.134,F,0,0,0,1,0,0,0
1.032,0.508,G,0,0,0,0,1,0,0
1.104,0.281,K,0,0,0,0,0,1,0
1.035,-1.034,K,0,0,0,0,0,1,0
1.15,7.729,K,0,0,0,0,0,1,0
1.164,-1.824,K,0,0,0,0,0,1,0
0.45,1.654,F,0,0,0,1,0,0,0
0.616,2.62,G,0,0,0,0,1,0,0
0.906,-11.06,K,0,0,0,0,0,1,0
0.196,1.953,A,0,0,1,0,0,0,0
1.03,7.066,M,0,0,0,0,0,0,1
0.551,3.338,G,0,0,0,0,1,0,0
1.329,1.097,K,0,0,0,0,0,1,0
